month,day,hour,PM10,PM2.5,NO2,O3,Wind Speed,Wind Direction,Temperature,Relative Humidity,Air Pressure,datetime
1,9,2,97.8,58.42222222222222,64.0,8.0,0.125,127.5,26.9875,69.375,1012.125,2024-01-09 02:00:00
1,9,3,92.6,62.15555555555555,65.0,8.0,0.0875,219.0,26.525,72.125,1011.75,2024-01-09 03:00:00
1,9,4,91.6,66.11111111111111,64.0,8.0,0.1,238.125,26.225,72.875,1011.125,2024-01-09 04:00:00
1,9,5,96.0,70.28888888888889,59.0,8.0,0.1,183.25,25.875,75.25,1011.25,2024-01-09 05:00:00
1,9,6,120.2,77.88888888888889,54.0,8.0,0.2125,149.625,25.6875,76.875,1011.875,2024-01-09 06:00:00
1,9,7,139.4,82.93333333333334,53.0,8.0,0.2375,127.625,25.775000000000002,77.25,1012.125,2024-01-09 07:00:00
1,9,8,137.6,90.34444444444445,48.0,9.0,0.3125,99.75,26.1875,75.0,1013.0,2024-01-09 08:00:00
1,9,9,139.8,76.1888888888889,62.0,10.0,0.2875,193.25,27.7,69.25,1014.0,2024-01-09 09:00:00
1,9,10,132.4,71.78888888888889,56.0,25.0,0.275,185.125,29.45,62.375,1014.125,2024-01-09 10:00:00
1,9,11,126.4,65.30000000000001,49.0,47.0,0.4,234.0,31.325,55.0,1013.875,2024-01-09 11:00:00
1,9,12,107.6,57.6888888888889,48.0,71.0,0.3625,157.125,32.825,49.25,1013.125,2024-01-09 12:00:00
1,9,13,95.6,49.144444444444446,37.0,97.0,0.5375,229.75,33.599999999999994,46.625,1012.0,2024-01-09 13:00:00
1,9,14,84.0,48.833333333333336,29.0,83.0,0.6,211.75,33.9125,46.75,1010.875,2024-01-09 14:00:00
1,9,15,86.0,46.0125,31.0,88.0,0.6,192.875,34.1375,46.125,1010.0,2024-01-09 15:00:00
1,9,16,87.4,46.98888888888889,29.0,98.0,0.5875,229.75,33.8,47.375,1009.25,2024-01-09 16:00:00
1,9,17,89.2,49.888888888888886,31.0,91.0,0.525,246.625,33.35,48.875,1009.625,2024-01-09 17:00:00
1,9,18,91.4,50.422222222222224,43.0,60.0,0.4625,253.0,32.3375,51.5,1010.0,2024-01-09 18:00:00
1,9,19,91.6,53.455555555555556,53.0,39.0,0.35000000000000003,234.875,31.25,54.625,1010.25,2024-01-09 19:00:00
1,9,20,91.8,58.199999999999996,61.0,21.0,0.2,213.375,30.3625,57.875,1011.0,2024-01-09 20:00:00
1,9,21,104.8,58.6888888888889,72.0,11.0,0.21250000000000002,246.625,29.9625,59.125,1011.75,2024-01-09 21:00:00
1,9,22,109.0,60.55555555555556,64.0,9.0,0.2125,220.0,29.2125,62.375,1012.0,2024-01-09 22:00:00
1,9,23,109.0,58.36666666666666,55.0,14.0,0.3,219.125,28.625,68.375,1012.0,2024-01-09 23:00:00
1,10,0,93.8,53.58888888888889,39.0,29.0,0.375,230.625,28.2375,71.5,1011.875,2024-01-10 00:00:00
1,10,1,81.0,49.32222222222222,45.0,26.0,0.3,234.125,27.9,73.25,1011.625,2024-01-10 01:00:00
1,10,2,73.8,49.13333333333333,39.0,27.0,0.3625,239.125,27.5125,75.625,1011.0,2024-01-10 02:00:00
1,10,3,71.8,49.93333333333333,45.0,19.0,0.3625,272.25,27.25,79.375,1010.625,2024-01-10 03:00:00
1,10,4,71.6,50.833333333333336,43.0,16.0,0.225,251.5,26.8375,83.25,1010.125,2024-01-10 04:00:00
1,10,5,74.8,51.2,51.0,8.0,0.15,229.5,26.5125,85.375,1010.125,2024-01-10 05:00:00
1,10,6,79.6,54.855555555555554,53.0,9.0,0.1625,184.625,26.1875,86.375,1010.625,2024-01-10 06:00:00
